Player,Team,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FGA,FTA,TOV,FG%,3P%,eFG%,FT%,W,L,PS/G,PA/G
A.J. Lawson,TOR,25.0,N/A,2,8.2,6.0,2.5,0.0,0.0,1.0,5.0,1.0,0.0,0.4,0.5,0.5,1.0,0,2,115.8,113.89999999999999
AJ Green,MIL,26.0,N/A,24,29.0,11.3,2.8,2.1,0.5,0.1,7.3,1.0,0.8,0.489,0.485,0.7191780821917808,0.792,10,14,115.1,118.0
AJ Johnson,WAS,21.0,N/A,10,4.5,0.7,0.6,0.4,0.0,0.0,1.3,0.4,0.2,0.154,0.0,0.15384615384615385,0.75,0,10,112.4,128.3
Aaron Gordon,DEN,30.0,N/A,13,28.3,18.8,5.9,1.3,0.8,0.2,11.8,4.6,1.4,0.532,0.444,0.6271186440677966,0.867,10,3,125.0,116.3
Aaron Holiday,HOU,29.0,N/A,16,17.1,9.1,1.0,1.2,0.5,0.2,6.3,1.7,0.9,0.455,0.433,0.6031746031746031,0.889,13,3,120.9,110.30000000000001
Aaron Nesmith,IND,26.0,N/A,11,30.4,15.5,4.5,1.5,0.8,0.3,13.4,3.5,0.7,0.367,0.373,0.4701492537313433,0.795,1,10,111.3,118.89999999999999
Aaron Wiggins,OKC,26.0,N/A,13,25.4,13.8,3.2,2.2,0.5,0.6,10.8,1.0,1.2,0.486,0.434,0.5972222222222222,0.769,12,1,123.0,106.8
Ace Bailey,UTA,19.0,N/A,23,23.2,10.3,3.3,1.7,0.8,0.3,9.0,1.0,1.4,0.447,0.365,0.5277777777777778,0.773,8,15,117.6,125.8
Adem Bona,PHI,22.0,N/A,17,16.1,3.5,3.7,0.2,0.4,1.5,2.4,1.4,0.7,0.55,0.333,0.5625000000000001,0.583,11,6,116.9,116.10000000000001
Adou Thiero,LAL,21.0,N/A,8,6.4,1.3,0.8,0.1,0.3,0.0,0.6,0.6,0.4,0.6,0.0,0.6666666666666667,0.8,6,2,118.3,116.1
Ajay Mitchell,OKC,23.0,N/A,24,26.6,14.4,3.3,3.6,1.5,0.3,11.1,3.4,1.6,0.464,0.342,0.5180180180180181,0.877,23,1,123.0,106.8
Al Horford,GSW,39.0,N/A,13,21.5,5.6,4.4,2.0,1.0,1.0,6.0,0.5,1.2,0.321,0.298,0.425,1.0,7,6,113.5,111.7
Alex Caruso,OKC,31.0,N/A,15,18.8,5.7,2.4,2.5,1.6,0.3,5.0,0.7,1.0,0.4,0.354,0.51,0.8,15,0,123.0,106.8
Alex Sarr,WAS,20.0,N/A,16,29.7,19.1,8.6,3.3,0.8,2.0,15.1,3.8,2.1,0.515,0.346,0.5529801324503311,0.639,2,14,112.4,128.3
Alijah Martin,TOR,23.0,N/A,2,3.3,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2,115.8,113.89999999999999
Alperen Sengun,HOU,23.0,N/A,19,35.9,23.1,9.1,7.1,1.3,1.0,16.8,6.8,3.3,0.505,0.385,0.5386904761904762,0.738,14,5,120.9,110.30000000000001
Amari Williams,BOS,23.0,N/A,6,5.2,0.5,1.2,0.2,0.2,0.3,0.3,0.3,0.0,0.5,0.0,0.6666666666666667,0.5,4,2,117.3,110.6
Amen Thompson,HOU,22.0,N/A,21,35.9,17.4,7.0,5.1,1.4,0.5,14.2,4.3,2.7,0.477,0.205,0.49295774647887325,0.8,15,6,120.9,110.30000000000001
Amir Coffey,MIL,28.0,N/A,18,8.1,1.7,0.8,0.4,0.0,0.1,1.3,0.4,0.1,0.435,0.3,0.5384615384615384,1.0,8,10,115.1,118.0
Andre Drummond,PHI,32.0,N/A,22,21.7,7.7,9.4,0.8,0.7,0.9,5.7,1.6,0.9,0.544,0.379,0.5877192982456141,0.629,13,9,116.9,116.10000000000001
Andre Jackson Jr.,MIL,24.0,N/A,11,6.9,1.4,0.9,1.5,0.5,0.2,1.5,0.4,0.5,0.313,0.25,0.39999999999999997,0.75,3,8,115.1,118.0
Andrew Nembhard,IND,25.0,N/A,16,31.0,17.9,2.1,6.6,0.9,0.2,13.5,5.1,2.4,0.435,0.358,0.5037037037037038,0.841,4,12,111.3,118.89999999999999
Andrew Wiggins,MIA,30.0,N/A,22,32.9,16.9,4.9,2.9,1.0,1.1,13.6,2.6,1.8,0.487,0.379,0.5514705882352942,0.702,11,11,121.7,118.2
Anfernee Simons,BOS,26.0,N/A,24,23.6,13.4,2.3,2.5,0.5,0.2,10.8,1.6,1.1,0.44,0.401,0.5601851851851851,0.872,15,9,117.3,110.6
Anthony Black,ORL,21.0,N/A,25,28.2,13.0,3.9,3.2,1.3,0.6,10.6,3.6,2.1,0.447,0.307,0.49528301886792453,0.692,15,10,117.8,113.39999999999999
Anthony Davis,DAL,32.0,N/A,10,29.3,19.6,10.2,3.2,1.2,1.6,15.3,4.2,1.7,0.523,0.333,0.545751633986928,0.69,5,5,111.8,116.1
Anthony Edwards,MIN,24.0,N/A,20,34.4,28.7,4.9,3.8,1.2,0.8,19.3,7.2,3.0,0.5,0.416,0.5906735751295336,0.833,13,7,119.6,114.69999999999999
Anthony Gill,WAS,33.0,N/A,9,3.6,1.9,0.8,0.0,0.0,0.1,0.8,0.4,0.4,0.857,1.0,0.9375,1.0,0,9,112.4,128.3
Antonio Reeves,CHA,25.0,N/A,6,8.8,3.5,0.8,0.3,0.2,0.0,2.7,0.0,0.0,0.5,0.5,0.6296296296296297,0.0,1,5,114.2,118.3
Ariel Hukporti,NYK,23.0,N/A,16,7.9,1.2,2.4,0.5,0.1,0.5,0.8,0.5,0.6,0.538,0.0,0.5,0.625,12,4,120.5,111.9
Asa Newell,ATL,20.0,N/A,15,8.5,4.6,1.5,0.4,0.4,0.2,3.1,0.7,0.4,0.543,0.5,0.6612903225806451,0.8,11,4,118.0,116.4
Ausar Thompson,DET,22.0,N/A,20,28.0,11.8,6.0,3.1,1.5,0.7,9.5,3.2,1.4,0.519,0.313,0.5315789473684212,0.547,15,5,118.7,113.2
Austin Reaves,LAL,27.0,N/A,20,36.8,28.4,5.5,6.7,1.1,0.2,16.9,9.6,3.4,0.509,0.37,0.5946745562130178,0.874,15,5,118.3,116.1
Ayo Dosunmu,CHI,25.0,N/A,20,27.8,15.2,2.7,3.2,0.6,0.3,10.5,2.8,1.4,0.519,0.475,0.6142857142857143,0.857,8,12,117.3,122.6
Bam Adebayo,MIA,28.0,N/A,19,30.8,19.2,8.9,2.5,1.0,0.9,14.4,4.6,1.7,0.478,0.34,0.5381944444444444,0.795,10,9,121.7,118.2
Baylor Scheierman,BOS,25.0,N/A,20,12.1,3.4,2.0,0.8,0.5,0.1,2.3,0.1,0.4,0.556,0.486,0.7608695652173914,1.0,14,6,117.3,110.6
Ben Saraf,BKN,19.0,N/A,12,16.9,5.4,1.6,2.8,0.7,0.3,5.2,1.3,1.9,0.355,0.273,0.4230769230769231,0.8,3,9,109.4,117.2
Ben Sheppard,IND,24.0,N/A,22,24.9,6.5,4.1,2.0,0.6,0.1,6.7,0.9,0.7,0.354,0.273,0.44029850746268656,0.789,4,18,111.3,118.89999999999999
Bennedict Mathurin,IND,23.0,N/A,13,32.9,21.5,5.6,2.3,0.8,0.2,14.4,6.5,2.9,0.46,0.43,0.5555555555555556,0.833,5,8,111.3,118.89999999999999
Bilal Coulibaly,WAS,21.0,N/A,12,27.1,8.8,4.0,3.0,1.3,1.0,7.6,2.9,1.8,0.374,0.268,0.4276315789473684,0.771,2,10,112.4,128.3
Bismack Biyombo,SAS,33.0,N/A,8,7.2,0.9,0.8,0.4,0.4,0.1,0.5,0.3,0.4,0.75,0.0,0.8,0.5,5,3,119.6,115.3
Blake Wesley,POR,22.0,N/A,6,16.3,6.0,2.3,3.2,1.7,0.2,5.7,1.7,1.2,0.412,0.2,0.4298245614035087,0.6,4,2,117.4,120.7
Bobby Portis,MIL,30.0,N/A,25,21.7,11.4,5.6,1.4,0.4,0.1,9.8,0.9,1.1,0.467,0.447,0.5561224489795917,0.609,10,15,115.1,118.0
Bobi Klintman,DET,22.0,N/A,6,8.8,2.8,2.7,0.7,0.3,0.0,3.5,0.5,0.8,0.333,0.273,0.41428571428571426,0.0,5,1,118.7,113.2
Bogdan Bogdanović,LAC,33.0,N/A,10,25.4,9.2,3.2,3.2,0.7,0.1,8.2,1.3,1.3,0.39,0.333,0.49390243902439024,0.846,2,8,111.6,116.8
Bones Hyland,MIN,25.0,N/A,15,9.0,4.3,1.1,1.4,0.5,0.0,3.3,0.3,0.8,0.51,0.387,0.6363636363636365,0.75,10,5,119.6,114.69999999999999
Bradley Beal,LAC,32.0,N/A,6,20.2,8.2,0.8,1.7,0.5,0.0,8.0,1.3,1.5,0.375,0.368,0.45,0.75,2,4,111.6,116.8
Branden Carlson,OKC,26.0,N/A,16,9.9,4.6,2.2,0.7,0.1,0.6,3.6,0.4,0.3,0.526,0.379,0.625,0.429,15,1,123.0,106.8
Brandin Podziemski,GSW,22.0,N/A,25,27.7,12.5,4.7,3.0,1.2,0.2,9.9,2.4,1.5,0.441,0.398,0.5454545454545455,0.767,13,12,113.5,111.7
Brandon Ingram,TOR,28.0,N/A,26,34.1,21.5,5.8,3.8,0.9,0.5,17.0,4.9,3.1,0.472,0.331,0.5147058823529411,0.805,15,11,115.8,113.89999999999999
Brandon Miller,CHA,23.0,N/A,8,26.1,16.4,2.5,3.1,0.8,1.1,15.0,3.8,2.3,0.367,0.286,0.44333333333333336,0.833,4,4,114.2,118.3
Brandon Williams,DAL,26.0,N/A,23,21.6,10.8,2.4,4.1,1.4,0.2,9.6,3.5,1.8,0.391,0.191,0.4166666666666667,0.8,8,15,111.8,116.1
Brice Sensabaugh,UTA,22.0,N/A,22,15.6,8.6,2.5,1.1,0.7,0.2,7.1,1.5,0.9,0.408,0.337,0.5140845070422535,0.848,7,15,117.6,125.8
Bronny James,LAL,21.0,N/A,13,9.5,2.0,0.7,1.6,0.7,0.1,2.4,0.2,0.8,0.323,0.286,0.39583333333333337,1.0,8,5,118.3,116.1
Brook Lopez,LAC,37.0,N/A,18,14.1,6.1,1.8,0.5,0.3,0.8,5.5,0.6,0.8,0.394,0.353,0.5181818181818182,0.727,5,13,111.6,116.8
Brooks Barnhizer,OKC,23.0,N/A,17,7.7,1.7,1.9,0.4,0.2,0.1,1.4,0.4,0.2,0.522,0.25,0.5357142857142857,0.667,16,1,123.0,106.8
